stratum,rho,method,k,delta_a,delta_b,joint_z,ppl_ratio,flag_share,presence_both
low,0.1866862028837204,F1.a,3,0.33130668140947817,0.0612591901794076,-0.2636218814960876,6.987734762830328,1.0,0.0
low,0.1866862028837204,F2.a,3,0.12291145026683807,0.028246284183114766,-0.3407105594579904,5.991571825202946,0.95,0.0
medium,0.3212890625,F1.a,3,0.13029451887123286,0.18476323261857033,-0.24005606477052685,5.604770153245356,0.9,0.0
medium,0.3212890625,F2.a,3,-0.01324861110188067,-0.016889319755136967,-0.3674007170781467,5.319473752597227,0.9,0.0
high,0.5660807490348816,F1.a,3,0.3491747543157544,0.3298625897616148,-0.26307944122463894,6.857899131179272,0.9,0.0
high,0.5660807490348816,F2.a,3,0.4550488067790866,0.3802505465224385,-0.22085161547853388,8.67982161177942,0.95,0.0
low,0.1866862028837204,F1.a,4,0.4722983868792653,0.1696393648046069,-0.10164310240031779,9.237826751841595,0.95,0.0
low,0.1866862028837204,F2.a,4,0.20496703078970313,0.11055231094360352,-0.3430149173099357,11.53495686842459,1.0,0.0
medium,0.3212890625,F1.a,4,0.335243778815493,0.44012841684743764,-0.006576070044540078,6.722768586482763,0.95,0.0
medium,0.3212890625,F2.a,4,0.18781203324906529,0.36336599439382555,-0.15090819116532186,8.51593956675413,1.0,0.0
high,0.5660807490348816,F1.a,4,0.6428870629519224,0.6417468709871172,-0.040485700952470505,8.730229419370634,0.95,0.0
high,0.5660807490348816,F2.a,4,0.42589986994862555,0.5662918232381344,-0.19842911537167346,8.627063880861666,0.95,0.0
