pair,rho,regime,method,delta_a,delta_b,joint_z,ppl_ratio,flag_share
sadness.n.01 / music.n.01,0.1866862028837204,unrelated,aligned,0.8734497327357531,0.5965843020007014,-0.0867063990352727,7.467086019950351,0.85
sadness.n.01 / music.n.01,0.1866862028837204,unrelated,extrinsic,0.6084409179165959,0.2877912277006544,-0.3044210594901625,8.71260477086496,0.9
joy.n.01 / music.n.01,0.2301432341337204,unrelated,aligned,0.6340783270075917,0.48405167032033203,-0.15022858885313822,5.525375479495846,0.85
joy.n.01 / music.n.01,0.2301432341337204,unrelated,extrinsic,0.26248361058533193,0.18940130509436132,-0.421616212394481,7.768288749148931,0.9
music.n.01 / water.n.01,0.2708333432674408,unrelated,aligned,0.48673922726884483,0.5983281759545207,-0.12569000585476783,7.512121198513891,0.8
music.n.01 / water.n.01,0.2708333432674408,unrelated,extrinsic,0.20904190577566623,0.28116605393588545,-0.3281248328366487,7.683885534770189,0.85
dog.n.01 / mathematics.n.01,0.2750650942325592,unrelated,aligned,0.3093414019793272,0.4195444940123707,-0.13838801166846187,7.196434176647683,0.9
dog.n.01 / mathematics.n.01,0.2750650942325592,unrelated,extrinsic,0.3857538726180792,0.4477920362725854,-0.16721535744203325,6.5691294003462035,0.9
cat.n.01 / mathematics.n.01,0.2838541567325592,unrelated,aligned,0.37889319164678453,0.7208158655092121,-0.08507026251505778,6.859691803426976,0.9
cat.n.01 / mathematics.n.01,0.2838541567325592,unrelated,extrinsic,0.3405277945101261,0.5937235971912742,-0.14448561836115092,6.826407674695552,0.9
love.n.01 / hate.n.01,0.3059895932674408,antonym,aligned,0.24022628609091043,0.33883318593725564,-0.23400883911050863,6.118212666139925,0.9
love.n.01 / hate.n.01,0.3059895932674408,antonym,extrinsic,0.5148805191740393,0.6315642573870719,-0.03760553196989127,5.703227693669613,0.9
woman.n.01 / king.n.01,0.3212890625,compositional,aligned,0.36554704220034184,0.42850135508924725,-0.21321094290660025,5.887832667761321,0.9
woman.n.01 / king.n.01,0.3212890625,compositional,extrinsic,0.5262258152011782,0.6268129622098059,-0.07487034760825244,6.399627463026546,0.9
joy.n.01 / dog.n.01,0.3336588442325592,unrelated,aligned,0.1918241497129202,0.21082593947649003,-0.3490625020825818,8.173125157541053,0.95
joy.n.01 / dog.n.01,0.3336588442325592,unrelated,extrinsic,0.4693117614835501,0.25630473010241983,-0.14454916946278196,9.069081732379756,0.95
joy.n.01 / sorrow.n.01,0.35546875,antonym,aligned,0.21552750691771508,0.498115798458457,-0.2994902883559661,8.831076713418492,0.95
joy.n.01 / sorrow.n.01,0.35546875,antonym,extrinsic,0.28748476356267927,0.6224439825862647,-0.24316252002287805,8.762499555185807,0.95
dog.n.01 / cat.n.01,0.3938802182674408,similar,aligned,0.2558111138641834,0.12885400876402855,-0.1388563411098102,7.662110331299213,0.95
dog.n.01 / cat.n.01,0.3938802182674408,similar,extrinsic,0.255622323602438,0.1432376690208912,-0.1376835603413936,7.7910864342988235,0.95
sorrow.n.01 / sadness.n.01,0.5660807490348816,similar,aligned,0.7767978142946959,0.7169187817722559,-0.1427221229313606,7.802525814190252,0.9
sorrow.n.01 / sadness.n.01,0.5660807490348816,similar,extrinsic,0.8651969384402036,0.778549980558455,-0.08292608130184582,8.471160118556398,0.9
